S.no.,Start Date,Bookeeper Start Date,Estimated Days,Output Date,TAT,Urgent,Month,Client Reference,Responsible User,File Name,Company No.,Company UTR,File Source,Status,File Allocated to,Bookeeper,Reviewer,File Type,Period,Accountancy Fees,CS Fee,Company closure fess,Payroll Fees,PAYE Registration Fees,Company Strike off fees,Company compliances(Dormant)+Registered Office,Personal Tax fees,Adding SIC Code fees,Incorporation Fee,Adding director Fee,SA Fee,VAT Registration,Business plan,Total Fee,Work Done,No. of Bank Accounts,Bank Transactions,Bank Transactions,Bank Transactions,Bank Transactions,Bank Transactions,Bank Transactions,Total Bank entries,No. of transactions (others),Total entries,Preparing Sales list,No. of sale invoices,No. of PINs ,No. of Wages,Bank received in,PINs given start date,PINs given done date,Time Taken( hrs),Notes,Fees
15,08 April 2025,09 April 2025,,09 April 2025,1,,04/2025,M063/NS/ED,Ersin,MotionLove Limited,10469692,4198005752,Allocation group,Completed,Sahil,Sahil,,VT,01/09/2024 - 30/11/2024,450.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00,VAT (Review),0,0,0,0,0,0,0,0,0,0,No Sales,0,18,0,,,,,,
16,07 April 2025,08 April 2025,,10 April 2025,3,,04/2025,,Darshana,RDKK Service Ltd,13068445,6606927252,Task Sheet,Completed,Anamika,Anamika,,QB,01/01/2024 - 31/12/2024,1752.60,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.60,Year End Accounts,2,156,347,,,,,503,,,,,37,,PDF (Scanned),,,,one bank is link and we recceived scanned pdf for lloyed credit card statment,
17,07 April 2025,08 April 2025,0.5,08 April 2025,1,,04/2025,,Jaleh,Springfield Surbiton Ltd,10033075,,CA-Mail,Completed,Raghav,Raghav,,Sage,01/03/2025 - 31/03/2025,Not found (Jaleh's client),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Invoice recording,0,0,0,0,0,0,0,0,,0,,,16,,,,,,,
18,08 April 2025,09 April 2025,0.5,09 April 2025,1,,04/2025,,Darshana,Becon Tech Ltd.,13301823,7731916439,Task Sheet,Completed,Raghav,Raghav,,QB,01/12/2024 - 28/02/2025,58.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.80,VAT,2,16,30,0,0,0,0,46,,46,,,1,,,,,,,
19,09 April 2025,10 April 2025,1,11 April 2025,2,,04/2025,N076/SC,Silan,Nazo Kebab Ltd,14815100,2177724940,Allocation group,Completed,Pawan,Vishal,Pawan,VT,01/05/2024 - 30/04/2025,1080.00,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.00,Bank & Wages (01/05/24 - 31/03/25),1,664,0,0,0,0,0,664,11,675,-,0,0,11,PDF,,,,,
20,09 April 2025,09 April 2025,0.5,09 April 2025,0,,04/2025,,Jaleh,Verdian Grove Ltd.,15960950,,CA-Mail,Completed,Raghav,Raghav,,Xero,01/01/2025 - 31/03/2025,Not found (Jaleh's client),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,VAT,2,5,6,0,0,0,0,11,,11,,,4,,,,,,,
21,09 April 2025,10 April 2025,1.5,11 April 2025,2,,04/2025,,Jaleh,Cold square Ltd ,12352434,,CA-Mail,Completed,Raghav,Raghav,,Xero,01/01/2025 - 31/03/2025,Not found (Jaleh's client),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,VAT,3,70,62,19,0,0,0,151,,151,,,56,,,,,,,
22,09 April 2025,09 April 2025,5,16 April 2025,7,Yes,04/2025,D108/NS/BB,Burcin,Dream Engineering & Decoration Ltd,11881181,2721703166,Allocation group,Under Review- UK,Momin,Momin,,QF,01/08/2023 - 30/09/2024,1080.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.00,Year End Accounts,2,248,265,0,0,0,0,513,267,780,Entered sale invoice,26,229,12,CSV,,,,,
23,10 April 2025,10 April 2025,,10 April 2025,0,,04/2025,P062/MG,Melis,Pasharo Limited,11356503,7236419634,Allocation group,Completed,Sahil,Sahil,,VT,01/01/2025 - 31/03/2025,450.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00,"VAT (Wages, Expenses, Incomes)",0,0,0,0,0,0,0,0,30,30,Entered sale invoice,2,25,3,CSV,,,,,
24,10 April 2025,11 April 2025,2,14 April 2025,4,,04/2025,Y041/ANK/SC,Silan,Yuruk Limited,08328245,1639313476,Allocation group,Completed,Pawan,Anamika,Pawan,VT,01/03/2024 - 28/02/2025,840.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.00,Bank & Wages,1,580,0,0,0,0,0,580,12,592,-,0,0,12,PDF,,,,,
25,10 April 2025,11 April 2025,2,14 April 2025,4,,04/2025,I038/IC/SC,Silan,Inspire IT Consulting Ltd,10540949,9566916086,Allocation group,Completed,Pawan,Sahil,,VT,01/04/2024 - 31/03/2025,720.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.00,Year End Accounts ,1,121,0,0,0,0,0,121,87,208,Prepared sales list,13,62,12,CSV,,,,,
26,10 April 2025,14 April 2025,1,14 April 2025,4,,04/2025,R039/FA/SC,Silan,Ruzgar Productions Ltd,11706661,4407828520,Allocation group,Completed,Pawan,Pawan,,QF,01/04/2024 - 31/03/2025,840.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.00,Year End Accounts ,1,110,0,0,0,0,0,110,62,172,-,19,31,12,CSV,,,,,
27,10 April 2025,10 April 2025,1,14 April 2025,4,,04/2025,W017/ANK/SC,Silan,Worwiscon Ltd,11714805,1382601485,Allocation group,Completed,Pawan,Vishal,Pawan,VT,01/04/2024 - 31/03/2025,780.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.00,Year End Accounts ,1,162,0,0,0,0,0,162,43,205,Prepared sales list,10,21,12,CSV,,,,,
28,11 April 2025,14 April 2025,,17 April 2025,6,,04/2025,I065/ANK/ED,Ersin,Imaginatrix Limited,12769840,6834017578,Allocation group,Under Review- UK,Sahil,Sahil,,VT,01/12/2024 - 31/03/2025,840.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.00,Year End Accounts ,1,226,0,0,0,0,0,226,106,332,Prepared sales list,19,83,4,CSV,,,,,
29,11 April 2025,14 April 2025,,17 April 2025,6,,04/2025,,Ersin,MotionLove Limited,10469692,4198005752,Allocation group,Completed,Sahil,Vishal,,VT,01/12/2024 - 28/02/2025,450.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00,"VAT (Wages, Expenses, Incomes)",1,176,0,0,0,0,0,176,18,194,Entered sale invoice,8,7,3,PDF,,,,,
30,14 April 2025,21 April 2025,,22 April 2025,8,,04/2025,P045/ANK/MG,Melis,PA Localisation Ltd,10933074,9575113976,Allocation group,Completed,Sahil,Sahil,,VT,01/12/2024 - 28/02/2025,450.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00,"VAT (Wages, Expenses, Incomes)",0,0,0,0,0,0,0,0,55,55,No sales,0,52,3,,,,,,
31,14 April 2025,23 April 2025,,24 April 2025,10,,04/2025,C184/MG,Melis,Cheers&Chill Limited,15222439,5046022750,Allocation group,Completed,Sahil,Sahil,,VT,01/03/2025 - 31/03/2025,300.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.00,"VAT (Wages, Expenses, Incomes)",0,0,0,0,0,0,0,0,54,54,No sales,0,50,4,,,,,,
490,14 April 2025,17 April 2025,0.5,22 April 2025,8,,04/2025,N034/ANK/MG,Melis,9 Bit Software Solutions Ltd,10969959,2532329552,Allocation group,Completed,Sahil,Sahil,,VT,01/01/2025 - 31/03/2025,450.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00,"VAT (Wages, Expenses, Incomes)",0,0,0,0,0,0,0,0,32,32,Entered sale invoice,10,22,0,,,,,,
491,14 April 2025,24 April 2025,,28 April 2025,14,,04/2025,P046/NS/HT,Haci,Philiatech Engineering Solutions Ltd,10632928,6664716555,Allocation group,Completed,Sahil,Sahil,,VT,01/01/2025 - 31/03/2025,450.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.00,VAT,6,16,9,46,10,4,3,88,34,122,Entered sale invoice,4,27,3,PDF,,,,,
34,14 April 2025,15 April 2025,1,23 April 2025,9,,04/2025,,Darshana,Luxsea Swimwear,10800705,8282118539,Task Sheet,Completed,Anamika,Anamika,,QB,01/03/2025 - 31/03/2025,228.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.00,Bookkeeping ,4,297,38,99,24,,,458,,,,,,,,,,,,
35,14 April 2025,14 April 2025,,16 April 2025,2,Yes,04/2025,,Darshana,SAFE INTELLIGENCE LIMITED,13521100,1847821202,Task Sheet,Completed,Anamika,Anamika,,QB,01/02/2025 - 31/03/2025,549.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.60,Bookkeeping ,5,34,88,42,19,8,,191,,,,,98,,CSV,,,,,
36,15 April 2025,15 April 2025,,22 April 2025,7,,04/2025,,Bektas,Haibrag Industrial Technologies Ltd,13228738,2944816010,Allocation group,Completed,Vishal,Vishal,,VT,01/01/2025 - 31/03/2025,450.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.00,"VAT (Wages, Expenses, Incomes)",1,8,0,0,0,0,0,8,7,15,Entered sale invoice,1,6,0,PDF (Scanned),,,,,
37,15 April 2025,16 April 2025,,25 April 2025,10,,04/2025,,Bektas,Immigration Connection Ltd,07612337,3797613036,Allocation group,Completed,Vishal,Vishal,,VT,01/01/2025 - 31/03/2025,375.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.00,"VAT (Wages, Expenses)",2,122,117,0,0,0,0,239,66,305,,0,63,3,CSV,,,,,
38,15 April 2025,15 April 2025,,22 April 2025,7,,04/2025,,Bektas,Conatusoft Ltd,9854668,2682018557,Allocation group,Completed,Vishal,Vishal,,VT,01/01/2025 - 31/03/2025,450.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00,"VAT (Wages, Expenses, Incomes)",1,34,0,0,0,0,0,34,15,49,,0,12,3,CSV,,,,,
39,15 April 2025,15 April 2025,1,16 April 2025,1,,04/2025,P102/HK,Hilal,Pamir Event Management Services Limited,12473119,3525322909,Admin Mail,Completed,Pawan,Pawan,,QF,01/04/2024 - 31/03/2025,1080.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.00,Year End Accounts ,1,75,0,0,0,0,0,75,36,111,-,12,12,12,CSV,,,,,
40,15 April 2025,17 April 2025,0.5,17 April 2025,2,,04/2025,,Jaleh,Smartery Ltd.,9266032,,CA-Mail,Completed,Raghav,Raghav,,VT,01/01/2025 - 31/03/2025,Not found (Jaleh's client),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,VAT,2,3,4,0,0,0,0,7,,7,,,11,2,PDF,,,,Asked for correct VT file from Amandeep,
41,16 April 2025,25 April 2025,,25 April 2025,9,,04/2025,,Darshana,UNIDOMUM LTD,12542980,7946624014,Task Sheet,Under Review- India,Anamika,Vishal,,VT,01/05/2024 - 30/04/2025,462.0,0.0,0.0,0.0,0.0,300.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.00,Year End Accounts ,3,36,2,10,0,0,0,48,0,0,,0,0,0,CSV,,,,,
42,16 April 2025,6 May 2025,,8 May 2025,22,,04/2025,,Darshana,VPSN LTD,12654006,7170007905,Task Sheet,Completed,Anamika,Anamika,,QB,01/07/2023 - 30/6/2024,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.00,Year End Accounts ,3,165,5,5,,,,175,,,,,,,PDF,,,,,
43,16 April 2025,23 April 2025,,23 April 2025,7,,04/2025,,Darshana,TRIUR CONSTRUCTION UK LTD,13088793,8870823679,Task Sheet,Completed,Anamika,Anamika,,VT,01/01/2025 - 31/03/2025,447.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.00,VAT,1,10,,,,,,10,,,,,7,,PDF,,,,,
44,16 April 2025,22 April 2025,1,23 April 2025,7,,04/2025,,Darshana,IGNACIO SARMIENTO SOFTWARE SOLUTION LTD,11595244,1182628316,Task Sheet,Completed,Anamika,Raghav,,VT,01/01/2025 - 31/03/2025,509.40,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.40,VAT,1,66,0,0,0,0,0,66,,66,,12,43,,CSV,,,,,
45,17 April 2025,23 April 2025,,23 April 2025,6,,04/2025,,Darshana,FEDAR SOLUTIONS UK LTD,12493882,8937600641,Task Sheet,Completed,Anamika,Anamika,,QB,01/01/2025 - 31/03/2025,118.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.80,VAT,1,19,,,,,,19,,,,,10,,,,,,,
46,17 April 2025,1 May 2025,,1 May 2025,14,,04/2025,,Darshana,Tomo Keller Limited,10115300,1898226773,Task Sheet,Completed,Anamika,Anamika,,Xero,01/01/2025 - 31/03/2025,157.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.80,Reviwed bills,0,0,,,,,,0,,,,,,,,,,,,
47,17 April 2025,17 April 2025,,17 April 2025,0,Yes,04/2025,,Gamze,Suheyla Aylin Buyukkaragoz Ta Aylin Nutrition Consultancy,,,Google Chats,Completed,Momin,Momin,,VT,01/04/2024 - 31/03/2025,480.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.00,Prepared Sales List,0,0,0,0,0,0,0,0,194,194,Prepared sales list,194,0,0,,,,,,
48,22 April 2025,23 April 2025,1,28 April 2025,6,,04/2025,D035/NS/SC,Silan,Deniz Cinar VFX Ltd,09380040,7958402380,Allocation group,Completed,Pawan,Raghav,Pawan,VT,01/04/2024 - 31/03/2025,720.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.00,Year end,1,97,0,0,0,0,0,97,56,153,Prepared sales list,15,29,12,CSV,,,,,
49,22 April 2025,25 April 2025,,25 April 2025,3,,04/2025,,Darshana,MY CART LOGISTICS LTD,13457587,3214417133,Task Sheet,Completed,Anamika,Anamika,,QB,01/01/2025 - 31/03/2025,383.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.40,VAT,1,12,,,,,,12,,,,,4,,,,,,,
50,22 April 2025,23 April 2025,,29 April 2025,7,,04/2025,,Ersin,Sumeyye Karahasanoglu,N/A,N/A,Allocation group,Under Review- UK,Sahil,Vishal,Sahil,VT,06/04/2024 - 05/04/2025,840.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.00,Year End Accounts ,1,364,0,0,0,0,0,364,19,383,Prepared sales list,16,3,0,CSV,,,,,
51,22 April 2025,30 April 2025,,2 May 2025,10,,04/2025,T143/ERS/ED,Ersin,Tame B&C Limited,12547649,6544519693,Allocation group,Under Review- UK,Sahil,Sahil,,VT,01/04/2024 - 31/03/2025,1080.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.00,Year End Accounts ,1,660,0,0,0,0,0,660,28,688,No sales,0,16,12,PDF,,,,,
52,23 April 2025,23 April 2025,2,26 April 2025,3,,04/2025,,Gamze,Studio Blank Limited,11978175,9049015246,Allocation group,Under Review- India,Momin,Momin,,VT,01/03/2024 - 28/02/2025,960.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.00,Year End Accounts ,1,387,0,0,0,0,0,387,165,552,Prepared sales list,4,149,12,PDF,,,,,
53,23 April 2025,02 May 2025,,03 May 2025,10,,04/2025,,Gamze,On20 Studio Ltd,11542487,6936224787,Allocation group,Under Review- India,Momin,Vishal,,VT,01/02/2024 - 31/01/2025,780.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.00,Year End Accounts ,1,227,0,0,0,0,0,227,50,277,Prepared sales list,7,31,12,CSV,,,,,
54,23 April 2025,29 April 2025,2,30 April 2025,7,,04/2025,,Gamze,Mini Knots Ltd,11566840,2174313144,Allocation group,Under Review- UK,Momin,Momin,,VT,01/03/2024 - 28/02/2025,1080.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.00,Year End Accounts ,1,222,80,0,0,0,0,302,109,411,Prepared sales list,17,80,12,CSV,,,,,
55,23 April 2025,30 April 2025,,30 April 2025,7,,04/2025,,Darshana,BRUNSON EDUCATION GROUP LTD,13779556,3639526503,Task Sheet,Queries sent to CA,Anamika,Anamika,,Xero,01/03/2025 - 31/3/2025,238.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.80,Bookkeeping,3,30,46,15,,,,91,,,,4,8,,,,,,,
56,23 April 2025,2 May 2025,,3 May 2025,10,,04/2025,,Ersin,Darqube ltd,12197411,5951720791,Google Chats,Under Review- India,Anamika,Anamika,,VT,01/10/2024 - 31/12/2024,536.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.40,VAT,3,232,12,4,,,,248,,,,,3,,,,,,,
57,23 April 2025,25 April 2025,1,28 April 2025,5,,04/2025,,Darshana,Eyya ltd,12784770,7866515003,Task Sheet,Completed,Anamika,Raghav,,Xero,01/01/2025 - 31/03/2025,450.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00,Reviwed accounts,0,0,0,0,0,0,0,0,,0,,,,,,,,,,
58,23 April 2025,25 April 2025,,25 April 2025,2,,04/2025,,Darshana,Regional Vehicles Ltd,12223383,2587528924,Task Sheet,Completed,Anamika,Anamika,,QB,01/01/2025 - 31/03/2025,153.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.00,VAT,1,119,0,0,0,0,0,119,,,,,3,,,,,,,
59,23 April 2025,29 April 2025,,29 April 2025,6,,04/2025,,Darshana,GMSP ltd,09504223,5307311577,Task Sheet,Completed,Anamika,Anamika,,QB,01/01/2025 - 31/03/2025,419.40,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.40,VAT,2,146,32,0,0,0,0,178,,,,13,47,,CSV,,,,,
60,23 April 2025,25 April 2025,,28 April 2025,5,,04/2025,,Darshana,ELEO CAPITAL LIMITED,14535510,3380718150,Task Sheet,Completed,Anamika,Anamika,,QB,01/01/2025 - 31/03/2025,162.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.60,VAT,1,64,0,0,0,0,0,64,,,,,,,PDF,,,,,
61,24 April 2025,28 April 2025,,28 April 2025,4,,04/2025,,Darshana,Paul krokos,N/A,N/A,Task Sheet,Completed,Anamika,Anamika,,QB,01/01/2025 - 31/03/2025,284.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.40,VAT,6,59,46,10,1,0,0,116,,,,,102,,,,,,,
62,24 April 2025,29 April 2025,,29 April 2025,5,,04/2025,,Darshana,Learninet ltd,13485970,1011523539,Task Sheet,Completed,Anamika,Anamika,,QB,01/01/2025 - 31/03/2025,527.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.40,VAT,3,21,21,3,,,,45,,,,,11,,CSV,,,,,
